SDSS_dr8objid	GZ_dr8objid
1237655692481986636	1237655692481986636
1237655693011714293	1237655693011714293
1237651823786524900	1237655742407770401
1237651823253061899	1237655742411178295
1237655742940315893	1237655742940315893
1237655742940840131	1237655742940840131
1237655742942150871	1237655742942150871
1237654881284260183	1237655742951194807
1237655743476924632	1237655743476924632
1237655743478825053	1237655743478825053
1237655743479480565	1237655743479480565
1237655743480922274	1237655743480922274
1237655743481643351	1237655743481643351
1237655743483281580	1237655743483281580
1237655743484133624	1237655743484133624
1237655743486230670	1237655743486230670
1237655743488393578	1237655743488393578
1237655744019431739	1237655744019431739
1237655744019497137	1237655744019497137
1237655744021463171	1237655744021463171
1237655744022708328	1237655744022708328
1237655744023626322	1237655744023626322
1237655744025264421	1237655744025264421
1237655744552239304	1237655744552239304
